id,ename,edesignation,elocation,deptname
1,jyothsna,BTECH,pune,Develepment
2,vishnu,MTECH,pune,Develepment
3,dhanvika,SE,pune,Develepment
4,rk,BTECH,Bengalore,Develepment
5,priya,BTECH,pune,Develepment
6,vinodh,BTECH,US,Develepment
7,Prasanth,BTECH,US,Develepment
8,jyothsna,BTECH,pune,Sales
9,vishnu,MTECH,pune,Sales
10,dhanvika,SE,pune,Sales
11,rk,BTECH,Bengalore,Sales
12,priya,BTECH,pune,Sales
13,vinodh,BTECH,US,Sales
14,Prasanth,BTECH,US,Sales
15,jyothsna,BTECH,pune,Admin
16,vishnu,MTECH,pune,Admin
17,dhanvika,SE,pune,Admin
18,rk,BTECH,Bengalore,Admin
19,priya,BTECH,pune,Admin
20,vinodh,BTECH,US,Admin
21,Prasanth,BTECH,US,Admin
22,jyothsna,BTECH,pune,Finance
23,vishnu,MTECH,pune,Finance
24,dhanvika,SE,pune,Finance
25,rk,BTECH,Bengalore,Finance
26,priya,BTECH,pune,Finance
27,vinodh,BTECH,US,Finance
28,Prasanth,BTECH,US,Finance
29,jyothsna,BTECH,pune,Testing
30,vishnu,MTECH,pune,Testing
31,dhanvika,SE,pune,Testing
32,rk,BTECH,Bengalore,Testing
33,priya,BTECH,pune,Testing
34,vinodh,BTECH,US,Testing
